City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,matoury,4.8483,-52.3317,27.98,83,20,3.6,GF,1706998979
154,posto fiscal rolim de moura,-13.0833,-62.2667,30.25,63,90,0.41,BR,1706998979
155,pavlodol'skaya,43.7192,44.4781,-1.4,94,87,1.62,RU,1706998979
156,puerto ayora,-0.7393,-90.3518,30.98,80,49,4.8,EC,1706998980
157,port elizabeth,-33.918,25.5701,22.4,94,0,3.6,ZA,1706998789
158,rovaniemi,66.5,25.7167,-4.33,86,0,3.6,FI,1706998980
159,ust'-ilimsk,58.0006,102.6619,-23.09,99,100,0.89,RU,1706998981
160,burang,30.25,81.1667,-11.45,88,16,1.97,CN,1706998981
161,aldama,22.9167,-98.0667,35.28,27,0,5.23,MX,1706998981
162,anadyr,64.75,177.4833,-20.56,70,0,2.0,RU,1706998785
163,awjilah,29.1081,21.2869,12.71,39,3,2.36,LY,1706998982
164,whakatane,-37.9585,176.9854,22.1,57,0,2.24,NZ,1706998983
165,reggane,26.7158,0.1714,15.63,26,2,6.16,DZ,1706998983
166,bouza,14.4229,6.0428,19.13,14,96,5.78,NE,1706998984
167,utrik,11.2278,169.8474,26.43,77,85,8.85,MH,1706998984
168,batangafo,7.3008,18.2833,23.72,20,72,1.86,CF,1706998985
169,nemuro,43.3236,145.575,-4.86,72,12,5.96,JP,1706998985
170,jabat,7.75,168.9751,27.24,82,100,10.3,MH,1706998985
171,sisimiut,66.9395,-53.6735,-21.1,91,72,4.05,GL,1706998986
172,segou,13.4317,-6.2157,25.77,14,2,4.44,ML,1706998986
173,carutapera,-1.195,-46.02,25.94,84,94,2.99,BR,1706998987
174,kingston,17.997,-76.7936,27.53,69,20,3.09,JM,1706998916
175,yarmouth,41.7057,-70.2286,1.26,71,20,11.62,US,1706998988
176,maracaju,-21.6144,-55.1683,31.12,36,71,3.08,BR,1706998988
177,vilyuchinsk,52.9306,158.4028,-18.93,82,98,4.12,RU,1706998989
178,penzance,50.1186,-5.5371,10.38,91,100,7.35,GB,1706998545
179,cururupu,-1.8283,-44.8683,25.67,85,100,1.77,BR,1706998990
180,forster,-32.1667,152.5167,24.2,71,76,3.5,AU,1706998990
181,xilin hot,43.9667,116.0333,-26.21,95,10,2.08,CN,1706998991
182,bathsheba,13.2167,-59.5167,26.35,74,74,4.43,BB,1706998991
183,roosevelt,33.9668,-103.4505,14.12,26,30,14.03,US,1706998992
184,nandgaon,20.3167,74.65,21.25,39,2,1.13,IN,1706998992
185,fort mcmurray,56.7268,-111.381,-4.23,80,100,7.2,CA,1706998993
186,isangel,-19.55,169.2667,30.06,79,100,3.09,VU,1706998993
187,kargil,34.5667,76.1,-10.93,94,96,1.08,IN,1706998993
188,valparaiso,-33.0393,-71.6273,27.13,45,1,9.26,CL,1706998994
189,metlili chaamba,32.2667,3.6333,9.52,57,0,0.0,DZ,1706998994
190,sitka,57.0531,-135.33,4.94,81,100,6.69,US,1706998712
191,gulu,2.7746,32.299,22.66,41,56,1.56,UG,1706998995
192,punta arenas,-53.15,-70.9167,13.06,47,75,9.77,CL,1706998995
193,andergrove,-21.0833,149.1833,30.36,65,100,3.82,AU,1706998996
194,korhogo,9.45,-5.6333,26.1,18,0,2.3,CI,1706998996
195,mejit,10.2753,170.8646,26.67,77,41,9.08,MH,1706998996
196,kapiri mposhi,-13.9652,28.6809,17.31,94,41,2.0,ZM,1706998997
197,biaora,23.8667,76.9167,18.72,50,5,1.79,IN,1706998997
198,buenaventura,3.8801,-77.0312,26.55,83,96,1.81,CO,1706998998
199,inari,68.906,27.0288,-1.89,97,100,1.69,FI,1706998998
200,la libertad,-2.2333,-80.9,29.81,74,75,4.63,EC,1706998831
